# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       2.71        2709794.17
2                       5.44        2720573.70
4                      11.08        2769747.43
8                      22.11        2763232.43
16                     44.95        2809144.12
32                     74.96        2342520.41
64                    149.73        2339530.16
128                   290.98        2273308.52
256                   562.66        2197901.07
512                  1048.50        2047847.97
1024                 1946.57        1900948.13
2048                 3178.69        1552092.34
4096                 4948.46        1208119.54
8192                 6378.00         778564.84
16384                6710.03         409547.55
32768                9156.92         279446.95
65536               11214.34         171117.31
131072              12098.65          92305.37
262144              10282.33          39223.99
524288              10227.41          19507.23
1048576             10260.88           9785.54
2097152             10182.01           4855.16
4194304              9502.80           2265.64
