# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       2.80        2800986.82
2                       5.69        2843576.21
4                      11.17        2791601.29
8                      22.39        2798165.28
16                     45.43        2839522.61
32                     75.05        2345279.36
64                    150.00        2343779.76
128                   296.78        2318575.96
256                   572.58        2236632.97
512                  1068.80        2087500.18
1024                 1972.22        1925998.33
2048                 3239.20        1581640.71
4096                 4897.39        1195651.12
8192                 6330.88         772813.02
16384                6562.84         400564.24
32768                8910.01         271912.07
65536               10769.83         164334.60
131072              11538.91          88034.87
262144              10056.23          38361.46
524288               9902.43          18887.39
1048576             10060.62           9594.56
2097152              9756.40           4652.21
4194304              9344.45           2227.89
