# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       2.61        2611040.62
2                       5.19        2596171.94
4                      10.44        2610892.56
8                      21.10        2636886.33
16                     43.05        2690381.26
32                     70.95        2217258.03
64                    144.29        2254572.20
128                   282.76        2209080.49
256                   545.67        2131541.42
512                  1038.10        2027548.68
1024                 1893.89        1849498.24
2048                 3095.68        1511564.41
4096                 4676.68        1141766.96
8192                 6246.60         762523.95
16384                6521.68         398051.74
32768                8749.08         267000.82
65536               10575.29         161366.13
131072              11573.23          88296.73
262144              10017.34          38213.13
524288               9537.89          18192.08
1048576              9259.86           8830.89
2097152              9216.52           4394.78
4194304              8789.38           2095.55
