# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       3.03        3025313.84
2                       5.73        2862932.63
4                      11.67        2916602.49
8                      25.25        3156078.43
16                     50.76        3172247.59
32                     77.42        2419260.03
64                    156.90        2451555.91
128                   307.83        2404911.13
256                   602.86        2354913.42
512                  1148.07        2242315.86
1024                 2030.77        1983178.31
2048                 3384.34        1652511.44
4096                 5154.41        1258400.56
8192                 6638.38         810349.27
16384                6927.44         422817.11
32768                9671.67         295155.81
65536               11592.34         176885.07
131072              11472.23          87526.15
262144              10094.09          38505.90
524288               9690.86          18483.84
1048576              9929.80           9469.79
2097152              9753.84           4650.99
4194304              9376.12           2235.44
