# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.46
1                       0.46
2                       0.45
4                       0.45
8                       0.45
16                      0.46
32                      0.61
64                      0.60
128                     0.65
256                     0.67
512                     0.70
1024                    0.79
2048                    1.02
4096                    1.38
8192                    2.10
16384                   2.77
32768                   3.95
65536                   6.56
131072                 12.94
262144                 28.86
524288                 56.71
1048576               109.92
2097152               219.46
4194304               491.41
