# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.45
1                       0.45
2                       0.45
4                       0.44
8                       0.44
16                      0.45
32                      0.60
64                      0.59
128                     0.64
256                     0.67
512                     0.68
1024                    0.78
2048                    0.98
4096                    1.35
8192                    2.17
16384                   3.00
32768                   4.12
65536                   6.58
131072                 13.02
262144                 28.12
524288                 56.62
1048576               115.47
2097152               225.28
4194304               449.17
