# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.38
1                       0.37
2                       0.38
4                       0.37
8                       0.37
16                      0.38
32                      0.56
64                      0.53
128                     0.58
256                     0.60
512                     0.62
1024                    0.72
2048                    0.92
4096                    1.30
8192                    2.11
16384                   2.90
32768                   4.14
65536                   6.77
131072                 12.81
262144                 27.80
524288                 55.63
1048576               108.28
2097152               216.71
4194304               434.63
