# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       3.13        3131167.54
2                       5.51        2752928.54
4                      11.99        2998583.64
8                      24.75        3094267.34
16                     50.82        3175986.37
32                     82.50        2578048.40
64                    165.54        2586635.10
128                   319.27        2494330.27
256                   621.99        2429651.16
512                  1188.37        2321033.79
1024                 2086.54        2037639.66
2048                 3541.18        1729092.30
4096                 5316.86        1298062.54
8192                 6735.71         822230.23
16384                6915.92         422114.00
32768                9145.92         279111.37
65536               11213.90         171110.57
131072              11105.39          84727.38
262144               9957.68          37985.52
524288               9594.58          18300.21
1048576              9966.44           9504.74
2097152              9457.21           4509.55
4194304              9032.74           2153.57
