# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.40
1                       0.39
2                       0.39
4                       0.39
8                       0.39
16                      0.38
32                      0.56
64                      0.54
128                     0.60
256                     0.62
512                     0.63
1024                    0.75
2048                    0.93
4096                    1.36
8192                    2.11
16384                   3.09
32768                   4.38
65536                   7.03
131072                 13.51
262144                 30.65
524288                 61.98
1048576               120.95
2097152               239.63
4194304               447.12
