# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.45
1                       0.43
2                       0.43
4                       0.43
8                       0.44
16                      0.44
32                      0.60
64                      0.59
128                     0.62
256                     0.64
512                     0.68
1024                    0.77
2048                    0.96
4096                    1.32
8192                    2.12
16384                   2.94
32768                   4.14
65536                   6.72
131072                 12.94
262144                 27.73
524288                 54.73
1048576               108.43
2097152               217.34
4194304               447.19
