# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.45
1                       0.44
2                       0.43
4                       0.43
8                       0.44
16                      0.45
32                      0.60
64                      0.61
128                     0.65
256                     0.65
512                     0.67
1024                    0.78
2048                    0.97
4096                    1.34
8192                    2.16
16384                   2.96
32768                   4.12
65536                   6.84
131072                 13.04
262144                 28.28
524288                 56.71
1048576               110.54
2097152               219.06
4194304               446.01
