# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.37
1                       0.37
2                       0.36
4                       0.36
8                       0.36
16                      0.37
32                      0.53
64                      0.51
128                     0.55
256                     0.58
512                     0.60
1024                    0.69
2048                    0.89
4096                    1.24
8192                    2.01
16384                   2.66
32768                   3.83
65536                   6.32
131072                 12.59
262144                 29.54
524288                 59.55
1048576               113.68
2097152               217.94
4194304               432.78
