# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       0.41
1                       0.41
2                       0.40
4                       0.40
8                       0.41
16                      0.41
32                      0.59
64                      0.57
128                     0.62
256                     0.66
512                     0.66
1024                    0.78
2048                    0.98
4096                    1.38
8192                    2.15
16384                   2.87
32768                   4.05
65536                   6.52
131072                 12.71
262144                 27.67
524288                 57.08
1048576               112.67
2097152               225.62
4194304               446.77
