# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       3.08        3080952.01
2                       5.66        2829429.60
4                      11.70        2923766.89
8                      24.31        3038857.01
16                     49.78        3111496.59
32                     76.71        2397173.43
64                    158.36        2474393.89
128                   311.81        2436046.18
256                   603.71        2358246.36
512                  1139.45        2225489.36
1024                 2049.54        2001501.13
2048                 3428.30        1673975.05
4096                 5145.72        1256278.69
8192                 6560.35         800824.35
16384                6796.76         414841.04
32768                9233.81         281793.56
65536               10947.72         167048.99
131072              11143.36          85017.13
262144               9658.92          36845.85
524288               9189.37          17527.33
1048576             10020.55           9556.34
2097152              9684.82           4618.08
4194304              9487.15           2261.91
