# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       3.17        3167642.53
2                       6.05        3023415.88
4                      11.93        2982287.08
8                      23.85        2981316.00
16                     51.40        3212730.44
32                     83.05        2595206.57
64                    167.55        2618041.99
128                   328.46        2566064.12
256                   631.93        2468462.50
512                  1167.96        2281166.62
1024                 2099.99        2050772.64
2048                 3502.98        1710438.30
4096                 5258.32        1283769.15
8192                 6704.55         818426.25
16384                6939.06         423526.47
32768                9255.19         282445.85
65536               11057.21         168719.70
131072              11356.00          86639.37
262144               9922.93          37852.96
524288              10032.73          19135.92
1048576              9930.03           9470.01
2097152              9870.15           4706.45
4194304              9467.86           2257.31
