# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       2.80        2796029.64
2                       5.84        2922379.77
4                      11.55        2886479.28
8                      23.02        2877957.94
16                     46.57        2910407.21
32                     75.85        2370333.50
64                    150.27        2347982.79
128                   300.40        2346841.12
256                   588.11        2297302.54
512                  1099.82        2148079.90
1024                 1904.30        1859669.35
2048                 3289.85        1606371.67
4096                 4996.81        1219924.80
8192                 6404.17         781759.59
16384                6949.30         424151.50
32768                9362.37         285716.77
65536               11333.58         172936.70
131072              11797.66          90009.00
262144              10142.91          38692.11
524288               9837.74          18764.01
1048576              9498.04           9058.03
2097152              9260.09           4415.55
4194304              9149.56           2181.42
