32,0.002140
32,0.001961
32,0.002160
32,0.002290
32,0.002205
64,0.003193
64,0.003203
64,0.003218
64,0.003128
64,0.003183
96,0.004330
96,0.004320
96,0.004265
96,0.004320
96,0.004345
128,0.005787
128,0.005512
128,0.005657
128,0.005562
128,0.005667
160,0.006770
160,0.007054
160,0.006794
160,0.006735
160,0.006755
192,0.008117
192,0.008481
192,0.008361
192,0.008136
192,0.008386
224,0.009907
224,0.009723
224,0.009468
224,0.009264
224,0.009883
256,0.002350
256,0.002385
256,0.002424
256,0.002400
256,0.002215
288,0.002390
288,0.002454
288,0.002424
288,0.002489
288,0.002499
320,0.002360
320,0.002430
320,0.002469
320,0.002375
320,0.002504
352,0.002429
352,0.002400
352,0.002459
352,0.002405
352,0.002514
384,0.002444
384,0.002439
384,0.002430
384,0.002539
384,0.002474
416,0.002574
416,0.002514
416,0.002509
416,0.002479
416,0.002544
448,0.002564
448,0.002534
448,0.002554
448,0.002499
448,0.002434
480,0.002564
480,0.002404
480,0.002489
480,0.002564
480,0.002544
512,0.002544
512,0.002449
512,0.002449
512,0.002504
512,0.002554
