32,0.001684
32,0.001937
32,0.001965
32,0.001954
32,0.001949
64,0.002550
64,0.002511
64,0.002509
64,0.002526
64,0.002564
96,0.003079
96,0.003192
96,0.003160
96,0.003194
96,0.003288
128,0.004107
128,0.003938
128,0.004104
128,0.003809
128,0.003999
160,0.004810
160,0.004894
160,0.004931
160,0.004732
160,0.004843
192,0.005564
192,0.005566
192,0.005818
192,0.005508
192,0.005625
224,0.006749
224,0.006472
224,0.006759
224,0.006518
224,0.006695
256,0.002465
256,0.002472
256,0.002457
256,0.002454
256,0.002465
288,0.002478
288,0.002467
288,0.002466
288,0.002486
288,0.002490
320,0.002490
320,0.002477
320,0.002496
320,0.002488
320,0.002497
352,0.002512
352,0.002517
352,0.002502
352,0.002526
352,0.002521
384,0.002532
384,0.002513
384,0.002530
384,0.002532
384,0.002546
416,0.002548
416,0.002540
416,0.002552
416,0.002557
416,0.002557
448,0.002553
448,0.002560
448,0.002560
448,0.002564
448,0.002550
480,0.002551
480,0.002550
480,0.002575
480,0.002577
480,0.002565
512,0.002588
512,0.002600
512,0.002597
512,0.002569
512,0.002586
