# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.77
1                       1.84
2                       1.84
4                       1.84
8                       1.83
16                      1.84
32                      1.84
64                      1.91
128                     1.96
256                     2.45
512                     2.52
1024                    2.61
2048                    3.20
4096                    4.48
8192                    6.76
16384                  11.24
32768                  15.70
65536                  22.10
131072                 32.92
262144                 33.76
524288                 58.26
1048576               108.11
2097152               207.89
4194304               407.97
