# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.14        1135632.29
2                       2.21        1102843.61
4                       4.56        1140069.27
8                       9.13        1141530.52
16                     18.28        1142635.96
32                     36.15        1129588.91
64                     70.27        1097923.45
128                   135.74        1060475.79
256                   269.20        1051571.36
512                   527.98        1031215.04
1024                  994.60         971292.10
2048                 1766.94         862762.06
4096                 2745.78         670355.44
8192                 3835.24         468168.56
16384                3416.80         208545.15
32768                3839.14         117161.30
65536                4110.31          62718.39
131072               4005.06          30556.19
262144              10251.72          39107.20
524288              10362.77          19765.42
1048576             10468.93           9983.95
2097152             10462.29           4988.81
4194304             10378.44           2474.41
