# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.85
1                       1.84
2                       1.84
4                       1.83
8                       1.84
16                      1.88
32                      1.84
64                      1.90
128                     1.94
256                     2.55
512                     2.83
1024                    3.01
2048                    3.65
4096                    5.13
8192                    6.06
16384                   9.35
32768                  12.60
65536                  20.59
131072                 32.76
262144                 33.68
524288                 58.22
1048576               107.86
2097152               209.33
4194304               406.87
