# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.77
1                       2.13
2                       1.82
4                       1.81
8                       1.81
16                      1.84
32                      1.84
64                      1.90
128                     1.96
256                     2.55
512                     2.72
1024                    2.85
2048                    3.05
4096                    4.21
8192                    6.31
16384                  10.53
32768                  14.59
65536                  22.89
131072                 38.82
262144                 33.86
524288                 58.33
1048576               108.05
2097152               207.51
4194304               408.49
