# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.84
1                       1.84
2                       1.84
4                       1.85
8                       1.85
16                      1.85
32                      1.85
64                      1.91
128                     1.96
256                     2.57
512                     2.58
1024                    2.62
2048                    3.21
4096                    4.50
8192                    6.79
16384                  11.24
32768                  15.66
65536                  23.26
131072                 33.00
262144                 33.85
524288                 58.29
1048576               107.70
2097152               207.83
4194304               408.98
