# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.17        1168625.97
2                       2.25        1126179.43
4                       4.59        1147845.35
8                       9.26        1157307.37
16                     18.29        1142933.07
32                     36.09        1127696.07
64                     69.77        1090139.18
128                   134.18        1048288.25
256                   270.58        1056947.51
512                   532.25        1039554.40
1024                 1004.05         980512.77
2048                 1787.98         873036.72
4096                 2773.40         677100.07
8192                 3893.57         475289.79
16384                3420.08         208744.96
32768                3804.24         116096.10
65536                4042.97          61690.81
131072               3982.82          30386.51
262144              10298.04          39283.90
524288              10366.96          19773.40
1048576             10443.66           9959.85
2097152             10433.89           4975.27
4194304             10394.34           2478.20
