# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.87
1                       1.76
2                       1.75
4                       1.76
8                       1.76
16                      1.76
32                      1.76
64                      1.84
128                     1.89
256                     2.47
512                     2.62
1024                    3.02
2048                    3.24
4096                    3.82
8192                    5.56
16384                   9.08
32768                  12.17
65536                  18.24
131072                 31.48
262144                 33.69
524288                 58.40
1048576               107.62
2097152               208.52
4194304               409.54
