# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.14        1136454.84
2                       2.26        1128801.15
4                       4.59        1146256.82
8                       9.15        1143368.80
16                     18.39        1149319.19
32                     36.39        1137253.13
64                     70.02        1093987.36
128                   134.96        1054339.16
256                   270.04        1054853.54
512                   531.07        1037250.25
1024                 1006.14         982561.08
2048                 1781.41         869831.37
4096                 2758.38         673431.99
8192                 3844.52         469302.24
16384                3421.35         208822.39
32768                3760.44         114759.49
65536                4129.88          63016.94
131072               4052.37          30917.16
262144              10204.69          38927.81
524288              10392.58          19822.27
1048576             10430.36           9947.16
2097152             10451.74           4983.78
4194304             10383.41           2475.60
