# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.93
1                       1.84
2                       1.85
4                       1.84
8                       1.85
16                      1.83
32                      1.74
64                      1.65
128                     1.69
256                     2.16
512                     2.29
1024                    2.57
2048                    3.24
4096                    4.39
8192                    6.49
16384                   9.12
32768                  12.16
65536                  18.26
131072                 31.43
262144                 33.62
524288                 58.13
1048576               108.02
2097152               207.79
4194304               408.69
