# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.16        1156853.42
2                       2.27        1135683.88
4                       4.65        1161909.13
8                       9.01        1126369.71
16                     18.74        1171242.63
32                     41.49        1296589.08
64                     81.62        1275312.21
128                   156.04        1219054.35
256                   315.63        1232923.53
512                   613.78        1198786.30
1024                 1138.48        1111792.08
2048                 2028.23         990348.28
4096                 3207.53         783088.52
8192                 4385.81         535377.63
16384                3955.72         241438.01
32768                4233.24         129188.20
65536                4860.90          74171.46
131072               4627.65          35306.14
262144              10193.64          38885.65
524288              10407.65          19851.02
1048576             10457.66           9973.20
2097152             10438.14           4977.29
4194304             10368.29           2471.99
