# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.83
1                       1.83
2                       1.84
4                       1.83
8                       1.83
16                      1.84
32                      1.84
64                      1.90
128                     1.95
256                     2.49
512                     2.54
1024                    2.62
2048                    3.20
4096                    4.46
8192                    6.75
16384                  11.30
32768                  15.65
65536                  22.91
131072                 35.89
262144                 33.96
524288                 58.39
1048576               108.16
2097152               208.15
4194304               410.30
