# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.80
1                       1.83
2                       1.83
4                       1.83
8                       1.84
16                      1.83
32                      1.83
64                      1.89
128                     1.94
256                     2.26
512                     2.50
1024                    2.61
2048                    3.20
4096                    4.47
8192                    6.79
16384                  11.23
32768                  14.38
65536                  20.14
131072                 34.33
262144                 33.83
524288                 58.35
1048576               108.01
2097152               207.83
4194304               408.43
