# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.15        1147566.06
2                       2.24        1121455.76
4                       4.68        1169408.14
8                       9.33        1165630.01
16                     18.89        1180631.66
32                     37.28        1164934.74
64                     72.10        1126512.85
128                   138.20        1079662.93
256                   280.18        1094438.22
512                   551.32        1076801.34
1024                 1042.80        1018359.43
2048                 1848.82         902745.66
4096                 2789.46         681021.25
8192                 3895.88         475571.38
16384                3437.22         209791.45
32768                3848.25         117439.15
65536                4122.99          62911.89
131072               4214.69          32155.52
262144              10303.46          39304.58
524288              10357.43          19755.23
1048576             10430.53           9947.33
2097152             10414.98           4966.25
4194304             10365.83           2471.41
