# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.82
1                       1.83
2                       1.83
4                       1.84
8                       1.84
16                      1.83
32                      1.76
64                      1.73
128                     1.80
256                     2.36
512                     2.49
1024                    2.92
2048                    3.40
4096                    4.72
8192                    6.61
16384                   9.84
32768                  13.32
65536                  22.04
131072                 34.78
262144                 33.91
524288                 58.43
1048576               107.87
2097152               207.68
4194304               408.10
