# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.14        1139024.33
2                       2.33        1163730.10
4                       4.73        1182325.05
8                       9.44        1179829.42
16                     18.86        1178899.90
32                     37.51        1172325.00
64                     72.41        1131426.10
128                   139.74        1091750.36
256                   277.09        1082375.73
512                   545.52        1065461.45
1024                 1036.77        1012473.20
2048                 1830.54         893817.30
4096                 2827.02         690190.67
8192                 3884.79         474217.08
16384                3440.54         209993.97
32768                3859.04         117768.59
65536                4142.64          63211.66
131072               4272.74          32598.45
262144              10208.48          38942.26
524288              10369.35          19777.97
1048576             10425.84           9942.86
2097152             10461.93           4988.63
4194304             10402.75           2480.21
