# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.82
1                       1.83
2                       1.83
4                       1.88
8                       1.70
16                      1.68
32                      1.68
64                      1.73
128                     1.80
256                     2.36
512                     2.49
1024                    2.78
2048                    3.55
4096                    4.73
8192                    6.03
16384                   9.89
32768                  13.38
65536                  20.26
131072                 34.94
262144                 33.86
524288                 58.78
1048576               107.94
2097152               207.55
4194304               408.52
