# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.17        1166326.76
2                       2.35        1173285.68
4                       4.67        1167295.30
8                       9.33        1166585.28
16                     18.27        1141873.50
32                     37.22        1163053.36
64                     71.84        1122515.36
128                   138.56        1082504.43
256                   276.80        1081238.88
512                   544.14        1062778.14
1024                 1034.93        1010674.46
2048                 1828.95         893042.40
4096                 2818.05         688000.41
8192                 3887.56         474555.59
16384                3335.90         203607.14
32768                3609.42         110150.67
65536                4092.19          62441.87
131072               3964.12          30243.85
262144              10200.54          38911.97
524288              10356.66          19753.76
1048576             10430.79           9947.58
2097152             10470.63           4992.78
4194304             10357.05           2469.31
