# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.16        1163314.65
2                       2.34        1169592.57
4                       4.65        1163262.64
8                       9.35        1169225.90
16                     18.73        1170673.17
32                     37.04        1157528.19
64                     71.97        1124557.97
128                   139.29        1088210.88
256                   272.59        1064787.14
512                   536.42        1047687.63
1024                 1019.12         995233.45
2048                 1795.72         876817.91
4096                 2546.00         621581.54
8192                 3903.08         476449.79
16384                3467.41         211634.12
32768                3859.53         117783.40
65536                4156.71          63426.35
131072               4013.98          30624.22
262144              10271.16          39181.38
524288              10382.48          19803.01
1048576             10429.19           9946.05
2097152             10476.24           4995.46
4194304             10382.54           2475.39
