# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.82
1                       1.82
2                       1.83
4                       1.83
8                       1.83
16                      1.83
32                      1.83
64                      1.89
128                     1.94
256                     2.53
512                     2.44
1024                    2.52
2048                    2.96
4096                    4.09
8192                    6.05
16384                  10.13
32768                  13.80
65536                  20.95
131072                 35.28
262144                 33.45
524288                 57.93
1048576               107.24
2097152               209.62
4194304               407.59
