# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.15        1146471.19
2                       2.31        1153628.32
4                       4.59        1147662.16
8                       9.26        1157410.76
16                     18.57        1160731.79
32                     36.61        1143984.58
64                     71.04        1109990.33
128                   137.85        1076915.85
256                   271.64        1061104.18
512                   532.10        1039257.29
1024                 1005.67         982095.78
2048                 1784.26         871218.99
4096                 2786.24         680234.44
8192                 3880.38         473679.59
16384                3442.67         210123.61
32768                3618.01         110412.94
65536                4144.74          63243.72
131072               3989.44          30437.04
262144              10243.54          39075.99
524288              10370.71          19780.56
1048576             10455.38           9971.03
2097152             10438.45           4977.44
4194304             10360.13           2470.05
