# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.16        1162887.04
2                       2.34        1167763.88
4                       4.65        1163204.07
8                       9.33        1166646.31
16                     18.66        1166482.79
32                     36.91        1153287.39
64                     71.34        1114663.71
128                   137.34        1072993.21
256                   275.72        1077030.21
512                   537.20        1049226.08
1024                 1001.55         978080.90
2048                 1804.74         881218.49
4096                 2797.41         682962.22
8192                 3888.03         474613.20
16384                3440.81         210010.35
32768                3908.53         119278.91
65536                4834.50          73768.63
131072               4648.55          35465.63
262144              10097.80          38520.04
524288              10369.78          19778.78
1048576             10412.22           9929.86
2097152             10388.37           4953.56
4194304             10380.68           2474.95
