# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       1.16        1156520.40
2                       2.26        1131080.37
4                       4.55        1136664.15
8                       9.31        1164028.75
16                     18.60        1162787.11
32                     36.78        1149394.74
64                     71.20        1112449.72
128                   137.51        1074327.34
256                   273.45        1068150.86
512                   535.86        1046599.86
1024                 1011.98         988261.92
2048                 1795.85         876878.82
4096                 2778.32         678300.37
8192                 3876.38         473191.48
16384                3441.52         210053.90
32768                3859.48         117782.05
65536                4108.00          62683.14
131072               4034.96          30784.29
262144              10250.41          39102.22
524288              10392.02          19821.21
1048576             10390.86           9909.50
2097152             10487.77           5000.96
4194304             10395.86           2478.57
