# OSU MPI Multiple Bandwidth / Message Rate Test v5.6.1
# Size          Latency (us)
# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                       0.66         662606.00
2                       1.21         606070.65
4                       2.64         660502.94
8                       5.35         668472.59
16                     10.60         662660.61
32                     21.13         660230.38
64                     41.97         655722.45
128                   137.15        1071514.74
256                   272.79        1065567.53
512                   541.38        1057388.09
1024                 1029.71        1005573.23
2048                 1819.16         888261.68
4096                 2803.69         684495.13
8192                 3878.24         473417.95
16384                3432.50         209503.09
32768                3843.46         117293.18
65536                4144.70          63243.08
131072               4451.29          33960.65
262144              10271.29          39181.86
524288              10353.29          19747.33
1048576             10388.43           9907.18
2097152             10424.28           4970.68
4194304             10330.07           2462.88
