# OSU MPI Latency Test v5.6.1
# Size          Latency (us)
0                       1.82
1                       1.82
2                       1.84
4                       1.83
8                       1.84
16                      1.84
32                      1.89
64                      1.90
128                     1.95
256                     2.54
512                     2.70
1024                    3.17
2048                    3.66
4096                    5.11
8192                    6.85
16384                  10.60
32768                  14.97
65536                  22.18
131072                 37.85
262144                 34.08
524288                 58.56
1048576               108.32
2097152               210.10
4194304               408.60
